date,ticket,open,high,low,close,volume
04/24/2025,VND,15100,15250,14700,14900,13729000
04/25/2025,VND,15050,15050,14700,14700,8149600
04/28/2025,VND,14800,14900,14650,14800,8789000
04/29/2025,VND,14800,14850,14600,14600,7436600
05/05/2025,VND,14900,14900,14450,14850,9620500
05/06/2025,VND,14950,15100,14650,14650,11292800
05/07/2025,VND,14650,14750,14450,14550,7475200
05/08/2025,VND,14650,14900,14500,14850,9023200
05/09/2025,VND,14900,15200,14850,14900,12639800
05/12/2025,VND,14900,15050,14800,15050,8155500
05/13/2025,VND,15250,15450,15050,15150,13013500
05/14/2025,VND,15250,15500,15000,15300,21492500
05/15/2025,VND,15450,15600,15200,15400,13493000
05/16/2025,VND,15400,15700,15200,15200,13484700
05/19/2025,VND,15250,15250,14800,14800,15426900
05/20/2025,VND,14950,15200,14600,15150,11562400
05/21/2025,VND,15200,15450,15000,15400,22144400
05/22/2025,VND,15400,16150,15300,15650,51376800
05/23/2025,VND,15700,15800,15500,15550,12220300
05/26/2025,VND,15550,15750,15050,15750,18950900
05/27/2025,VND,15850,16350,15750,16200,42768100
05/28/2025,VND,16350,16500,16000,16150,20039000
05/29/2025,VND,16150,16300,15750,15750,26897900
05/30/2025,VND,15700,16150,15550,15700,24409000
06/02/2025,VND,15750,16350,15600,16350,29804900
06/03/2025,VND,16650,17450,16550,17450,73325100
06/04/2025,VND,17450,17700,17300,17300,23528200
06/05/2025,VND,17300,17400,16950,17100,22777800
06/06/2025,VND,17000,17000,16350,16450,47716200
06/09/2025,VND,16400,16600,16150,16200,19893800
06/10/2025,VND,16200,16600,16100,16300,20356900
06/11/2025,VND,16350,16350,15950,16100,16111500
06/12/2025,VND,16300,16700,16250,16500,24504600
06/13/2025,VND,16150,16400,15900,16150,31063700
06/16/2025,VND,16050,16800,16050,16800,17834300
06/17/2025,VND,16900,16950,16500,16750,18137100
06/18/2025,VND,16700,16900,16500,16500,15773300
06/19/2025,VND,16450,16650,16300,16600,12285100
06/20/2025,VND,16700,16900,16500,16650,12440900
06/23/2025,VND,16350,16500,16250,16350,19949300
06/24/2025,VND,16200,16950,16100,16850,46127500
06/25/2025,VND,16850,17300,16650,16950,29826400
06/26/2025,VND,16900,17150,16500,17150,19418400
06/27/2025,VND,17200,17250,16900,17200,18773100
06/30/2025,VND,17350,17450,17050,17200,20710300
07/01/2025,VND,17200,17250,16750,16800,17636300
07/02/2025,VND,16800,17650,16750,17500,34447800
07/03/2025,VND,17550,17800,17000,17350,44498900
07/04/2025,VND,17350,17450,17100,17200,14616600
07/07/2025,VND,17350,17600,17300,17450,20063800
07/08/2025,VND,17600,18150,17500,17800,28864800
07/09/2025,VND,17900,18400,17800,18050,36605100
07/10/2025,VND,18200,18200,17750,17800,21471200
07/11/2025,VND,17800,18200,17600,17900,34311700
07/14/2025,VND,18050,18050,17400,17850,21045400
07/15/2025,VND,17800,19000,17800,18100,56097300
07/16/2025,VND,18100,18600,17900,18500,28295000
07/17/2025,VND,18700,18800,18200,18500,37902700
07/18/2025,VND,18600,18900,18250,18550,29086200
07/21/2025,VND,18650,18750,18050,18150,30763900
07/22/2025,VND,18000,19150,17850,19100,53054000
07/23/2025,VND,19450,20150,19300,19550,45145600
07/24/2025,VND,19700,19800,19200,19800,32772900
07/25/2025,VND,20000,21150,20000,21150,61884300
07/28/2025,VND,21900,22600,21850,22600,40160400
07/29/2025,VND,24000,24000,21050,21050,97514500
07/30/2025,VND,21650,22400,21000,22300,58843400
07/31/2025,VND,22600,22850,21900,22700,52788200
08/01/2025,VND,22300,22950,21500,22200,55573100
08/04/2025,VND,21700,23250,21500,23250,49148800
08/05/2025,VND,23500,24150,21800,23700,82026300
08/06/2025,VND,23650,24000,23150,23900,34878900
08/07/2025,VND,24100,24150,23350,23550,33226400
08/08/2025,VND,23750,24500,23400,23850,46262500
08/11/2025,VND,24000,24800,23600,24650,40915500
08/12/2025,VND,24600,24750,23850,24100,25870300
08/13/2025,VND,24300,24350,23200,23850,54744600
08/14/2025,VND,24150,24750,23850,24200,32891900
08/15/2025,VND,24400,25500,24000,24700,61248700
08/18/2025,VND,24800,25050,24100,24300,23541900
