date,ticket,open,high,low,close,volume
05/29/2025,BID,36500,36500,36100,36450,3029800
05/30/2025,BID,36400,36400,35800,36000,2334100
06/02/2025,BID,35800,35850,35500,35700,2796500
06/03/2025,BID,35900,36150,35800,35900,2729300
06/04/2025,BID,36000,36100,35650,35750,3010300
06/05/2025,BID,35900,35900,35450,35500,3302200
06/06/2025,BID,35500,35650,35200,35250,2792100
06/09/2025,BID,35250,35350,35000,35250,1659900
06/10/2025,BID,35250,35450,35200,35200,1865600
06/11/2025,BID,35300,35400,35000,35050,1236800
06/12/2025,BID,35100,35400,35100,35300,1416400
06/13/2025,BID,35050,36250,35000,35550,6320900
06/16/2025,BID,35550,35900,35450,35850,2707600
06/17/2025,BID,36000,36200,35850,35900,3745800
06/18/2025,BID,35900,36050,35600,35650,2595800
06/19/2025,BID,35700,35900,35500,35800,1873000
06/20/2025,BID,35800,36400,35800,36000,5982300
06/23/2025,BID,35650,36000,35550,35850,2289600
06/24/2025,BID,36050,36200,35700,36000,4416300
06/25/2025,BID,36050,36250,35850,35850,3395300
06/26/2025,BID,35900,35950,35600,35700,2340200
06/27/2025,BID,35700,36650,35700,36100,8298600
06/30/2025,BID,36350,36350,36200,36300,4550000
07/01/2025,BID,36350,36850,36250,36600,7013400
07/02/2025,BID,36600,36650,36300,36400,3804400
07/03/2025,BID,36500,36800,36150,36300,6056200
07/04/2025,BID,36450,36700,36300,36550,3907700
07/07/2025,BID,36650,37200,36650,37200,11238100
07/08/2025,BID,37200,37500,37000,37500,7363100
07/09/2025,BID,37650,38450,37500,38200,11136600
07/10/2025,BID,38500,38700,38050,38250,7732900
07/11/2025,BID,38250,38650,38150,38300,8713900
07/14/2025,BID,38500,39350,38300,38650,8309600
07/15/2025,BID,38600,38750,38100,38100,5787900
07/16/2025,BID,37900,38400,37850,38400,7121600
07/17/2025,BID,38800,38800,38150,38300,5679300
07/18/2025,BID,38300,38800,38000,38350,9035700
07/21/2025,BID,38450,38650,38050,38100,6201500
07/22/2025,BID,38050,39300,38000,38900,10824300
07/23/2025,BID,39100,39200,38550,38700,6983000
07/24/2025,BID,39000,39650,38700,38850,10953100
07/25/2025,BID,39100,39100,38750,38850,6289500
07/28/2025,BID,39100,39800,38900,39400,11057400
07/29/2025,BID,39650,39650,37400,37400,15396400
07/30/2025,BID,37400,38800,37300,38100,9305000
07/31/2025,BID,38500,38500,37500,37850,6291400
08/01/2025,BID,37850,38300,37100,37200,7122300
08/04/2025,BID,37200,38250,37200,38050,4467900
08/05/2025,BID,38400,40200,38200,38750,28540100
08/06/2025,BID,39000,39900,38950,39500,6984500
08/07/2025,BID,39700,40500,39500,40450,12283900
08/08/2025,BID,41000,41000,39350,39700,16734500
08/11/2025,BID,40000,40600,39600,40200,11391300
08/12/2025,BID,40500,41950,40450,41500,15346900
08/13/2025,BID,41800,41800,40300,41350,11836100
08/14/2025,BID,41600,42650,41150,42150,15166900
08/15/2025,BID,42600,42600,40700,41000,14374100
08/18/2025,BID,41050,41300,40600,40800,7511900
08/19/2025,BID,40900,41500,40700,40850,9924300
08/20/2025,BID,41000,41850,39600,40700,14543200
08/21/2025,BID,41000,42600,40900,42300,17322300
08/22/2025,BID,42400,45100,41950,43250,22730700
08/25/2025,BID,43900,43900,41000,41000,11310800
08/26/2025,BID,41000,41850,40550,41800,11173900
08/27/2025,BID,42150,44500,41850,42800,14870300
08/28/2025,BID,43050,43250,42250,42500,5841200
08/29/2025,BID,42700,43600,42500,42850,10429800
09/03/2025,BID,43100,43900,42050,43500,11349700
09/04/2025,BID,43750,43950,43150,43400,7236000
09/05/2025,BID,43600,43600,41950,41950,13561000
09/08/2025,BID,41700,41850,40650,40650,9074900
09/09/2025,BID,40650,41000,40350,40650,4248700
09/10/2025,BID,40700,41350,40550,40700,5472700
09/11/2025,BID,40800,40800,39850,40650,5782600
09/12/2025,BID,40800,41250,40800,40950,3319500
09/15/2025,BID,41050,42200,41050,42200,7330300
09/16/2025,BID,42500,42700,42000,42050,7340200
09/17/2025,BID,42000,42400,41000,41000,3700300
09/18/2025,BID,41000,41450,40550,40800,4684500
09/19/2025,BID,41100,41200,39800,39800,6161400
09/22/2025,BID,40200,41000,39600,41000,7994300
09/23/2025,BID,40700,40900,40500,40850,3466500
09/24/2025,BID,40850,41200,40200,41200,4669500
09/25/2025,BID,41150,41150,40800,40900,2009200
09/26/2025,BID,40800,41150,40550,40550,2295100
09/29/2025,BID,40250,40550,40100,40300,2110500
09/30/2025,BID,40200,40550,39600,40000,3683900
10/01/2025,BID,40000,40650,39800,40050,1783000
10/02/2025,BID,40150,40700,40000,40100,2735400
10/03/2025,BID,40000,40150,39800,39800,2515700
10/06/2025,BID,40300,40900,40050,40750,3058100
