date,ticket,open,high,low,close,volume
06/02/2025,TCB,30400,30950,30200,30850,13955600
06/03/2025,TCB,30900,31900,30900,31600,23860200
06/04/2025,TCB,31700,31700,31200,31350,15682100
06/05/2025,TCB,31350,31600,31050,31100,15787800
06/06/2025,TCB,31000,31000,30300,30300,28354600
06/09/2025,TCB,30300,30450,29750,29750,20750500
06/10/2025,TCB,29950,30500,29850,30050,15103700
06/11/2025,TCB,30350,30350,29950,30100,6090700
06/12/2025,TCB,30350,31150,30250,30950,24550800
06/13/2025,TCB,30700,31500,30500,31200,27415200
06/16/2025,TCB,31000,32350,30950,32300,23148300
06/17/2025,TCB,32550,32600,32050,32400,17962300
06/18/2025,TCB,32400,33350,32200,32800,17756300
06/19/2025,TCB,32800,34000,32800,34000,23284100
06/20/2025,TCB,34200,34850,33900,34000,17106000
06/23/2025,TCB,33600,34000,33400,33800,18895500
06/24/2025,TCB,34050,34750,33700,34000,25166100
06/25/2025,TCB,34150,34250,33800,33800,13115100
06/26/2025,TCB,34000,34450,33800,34050,12610700
06/27/2025,TCB,34100,34250,33850,33950,9837600
06/30/2025,TCB,34100,34700,34000,34200,13910000
07/01/2025,TCB,34200,34550,34050,34400,12545400
07/02/2025,TCB,34500,35100,34450,35000,16948700
07/03/2025,TCB,35150,35300,34800,34850,22273300
07/04/2025,TCB,34850,35000,34650,34950,12159000
07/07/2025,TCB,35200,35450,35100,35300,12244900
07/08/2025,TCB,35300,35550,35100,35300,12974100
07/09/2025,TCB,35450,35600,34700,34900,31885200
07/10/2025,TCB,34900,35000,34650,34800,14459300
07/11/2025,TCB,34800,35500,34800,34950,18592100
07/14/2025,TCB,34950,35100,34300,35100,18132100
07/15/2025,TCB,35150,35750,34800,34800,18005600
07/16/2025,TCB,34800,35450,34600,35250,15009100
07/17/2025,TCB,35400,35600,35100,35150,16136500
07/18/2025,TCB,35150,36500,35050,36250,36570000
07/21/2025,TCB,36300,36500,35350,35450,23119500
07/22/2025,TCB,35150,35450,34900,35350,26975100
07/23/2025,TCB,35400,35450,34900,35000,27862300
07/24/2025,TCB,35050,35600,34950,35050,19279700
07/25/2025,TCB,35100,35200,34950,35200,18898200
07/28/2025,TCB,35250,35850,35200,35600,30577800
07/29/2025,TCB,35750,35750,33900,33900,45002200
07/30/2025,TCB,34150,34600,33700,34500,30546900
07/31/2025,TCB,34600,35000,33800,34000,26760600
08/01/2025,TCB,34150,34700,34050,34100,20619700
08/04/2025,TCB,34100,35350,34000,35350,23096800
08/05/2025,TCB,35800,37800,35800,37000,92362100
08/06/2025,TCB,38000,39000,37200,38200,30371700
08/07/2025,TCB,38500,38900,37800,38400,30075200
08/08/2025,TCB,38750,38750,37400,37850,31007000
08/11/2025,TCB,37950,38450,37600,37750,24602200
08/12/2025,TCB,37800,38000,37200,37700,22622400
08/13/2025,TCB,37800,38000,36900,37500,27538600
08/14/2025,TCB,37750,39200,37750,38400,38004200
08/15/2025,TCB,38900,38950,37600,37600,31153200
08/18/2025,TCB,38200,38650,37650,37950,21688500
08/19/2025,TCB,38250,39450,38100,39200,37483600
08/20/2025,TCB,40450,40900,38900,40500,52927800
08/21/2025,TCB,41300,42500,41000,41550,37569600
08/22/2025,TCB,40500,41100,38650,39000,53106000
08/25/2025,TCB,39550,39650,37300,37550,39313700
08/26/2025,TCB,38000,39400,36950,39350,29545200
08/27/2025,TCB,39500,40700,38900,38950,25051600
08/28/2025,TCB,39600,39600,38800,39600,18621100
08/29/2025,TCB,40100,40250,39600,39600,23178500
09/03/2025,TCB,40050,40100,39450,39600,13486800
09/04/2025,TCB,39600,39950,39400,39600,16817900
09/05/2025,TCB,39950,40950,39500,39500,35382100
09/08/2025,TCB,39500,39600,38000,38000,31844700
09/09/2025,TCB,38550,38650,37850,38500,27379900
09/10/2025,TCB,39250,39800,38600,39000,25909000
09/11/2025,TCB,38900,39000,37700,38700,20441400
09/12/2025,TCB,39050,39100,38500,38600,18385600
09/15/2025,TCB,38550,39000,38550,39000,16479300
09/16/2025,TCB,39650,40100,39250,39350,30137900
09/17/2025,TCB,39350,39450,38500,38700,15622100
09/18/2025,TCB,38700,38800,38200,38800,13628900
09/19/2025,TCB,38800,38800,38100,38400,10813500
09/22/2025,TCB,38300,38400,37300,37500,21457800
09/23/2025,TCB,37550,38000,37500,37500,8090400
09/24/2025,TCB,37500,38800,37150,38800,14155200
09/25/2025,TCB,38800,38950,38550,38900,11877200
09/26/2025,TCB,38900,38950,38400,38700,11437300
09/29/2025,TCB,38600,38800,38400,38750,10121500
09/30/2025,TCB,38050,38050,37500,37850,11108100
10/01/2025,TCB,37850,38600,37800,38550,13225600
10/02/2025,TCB,38850,39200,38400,38850,16259200
10/03/2025,TCB,38550,38650,38050,38350,11272100
10/06/2025,TCB,38950,39400,38500,39400,23149900
10/07/2025,TCB,40000,40000,38950,39000,11813100
10/08/2025,TCB,39250,39400,38450,38600,20604100
10/09/2025,TCB,38600,39100,38550,38950,18770600
10/10/2025,TCB,39100,39900,39000,39350,20313000
10/13/2025,TCB,39300,41500,39250,41300,43313300
10/14/2025,TCB,41750,42000,40550,40800,25929200
10/15/2025,TCB,41000,41350,40550,40800,13321200
10/16/2025,TCB,41200,41250,40800,41250,20239100
10/17/2025,TCB,41650,41650,40450,40650,18690000
10/20/2025,TCB,40650,40650,37850,37850,30048800
10/21/2025,TCB,38100,38450,36500,37650,28577600
10/22/2025,TCB,38100,38150,36400,38000,15701400
10/23/2025,TCB,38050,38050,36800,37250,15619200
10/24/2025,TCB,37000,37000,36050,36100,23396700
10/27/2025,TCB,36300,36500,35050,35050,15906600
10/28/2025,TCB,35050,36400,34000,36000,26134800
10/29/2025,TCB,35900,36900,35650,36400,13116300
10/30/2025,TCB,36500,36600,35600,35700,10507900
10/31/2025,TCB,35700,36200,35100,35100,12256900
11/03/2025,TCB,35100,35500,33600,33600,16737200
11/04/2025,TCB,33600,35200,33450,35000,16062100
11/05/2025,TCB,34900,34900,34050,34100,11242500
11/06/2025,TCB,34150,34500,33500,33600,13684100
11/07/2025,TCB,33600,33950,33000,33000,16083600
11/10/2025,TCB,33300,33600,32950,33400,8793300
11/11/2025,TCB,33450,34000,33350,33650,11239700
11/12/2025,TCB,33700,35000,33600,35000,12025800
11/13/2025,TCB,34650,35500,34600,35100,12530800
11/14/2025,TCB,34800,35350,34700,35100,5603100
11/17/2025,TCB,35100,35250,34700,35150,9499500
11/18/2025,TCB,35200,35350,34950,35350,8594800
11/19/2025,TCB,35400,35400,34750,34800,6830700
11/20/2025,TCB,34850,35000,34600,34600,6941100
11/21/2025,TCB,34500,34500,33500,34250,8560200
11/24/2025,TCB,34300,34400,33900,33950,8275900
11/25/2025,TCB,34000,34000,33450,33450,9145600
11/26/2025,TCB,33600,33900,33500,33850,7859900
11/27/2025,TCB,33950,34200,33700,33750,8857300
11/28/2025,TCB,33750,33900,33300,33750,8390800
12/01/2025,TCB,33700,33700,33200,33200,7034700
12/02/2025,TCB,33200,34300,33150,34200,14025300
12/03/2025,TCB,34250,35000,34250,34900,16220500
12/04/2025,TCB,35000,35500,34800,35400,12020600
12/05/2025,TCB,35500,35500,34700,34700,7316700
12/08/2025,TCB,34650,34800,34150,34200,6283600
12/09/2025,TCB,34200,34200,33500,33800,10774500
12/10/2025,TCB,33750,34150,33700,33700,5381400
12/11/2025,TCB,33750,34000,33400,33400,6610500
12/12/2025,TCB,33450,33600,32000,32000,19124300
12/15/2025,TCB,32000,32300,31500,32000,10487300
12/16/2025,TCB,32000,33100,30500,33000,14017600
12/17/2025,TCB,33000,33150,32550,32600,6749600
12/18/2025,TCB,32800,33100,32500,33000,9090400
12/19/2025,TCB,33200,33650,33100,33600,9184900
12/22/2025,TCB,33850,35200,33750,35200,16562200
12/23/2025,TCB,35300,35350,34750,34800,12785000
12/24/2025,TCB,34700,35200,34300,34950,10571000
12/25/2025,TCB,34950,35800,34000,34000,10946100
12/26/2025,TCB,33500,34350,33050,33900,12160300
12/29/2025,TCB,33950,34450,33800,34050,6596700
12/30/2025,TCB,34200,34400,33750,34350,7265300
12/31/2025,TCB,34800,34900,34250,34900,9454000
