date,ticket,open,high,low,close,volume
03/20/2025,MBB,24000,24350,23900,24250,21142600
03/21/2025,MBB,24300,24500,24200,24300,15567500
03/24/2025,MBB,24300,24400,23950,24400,15571400
03/25/2025,MBB,24500,24550,24150,24200,12739400
03/26/2025,MBB,24150,24400,24000,24000,18277300
03/27/2025,MBB,24000,24100,23900,23900,12425800
03/28/2025,MBB,24000,24100,23800,23900,13037100
03/31/2025,MBB,23850,24100,23800,24100,18699200
04/01/2025,MBB,24150,24600,24000,24600,13919500
04/02/2025,MBB,24600,24650,24350,24350,9787900
04/03/2025,MBB,23600,23700,22650,22650,86268100
04/04/2025,MBB,21100,22450,21100,22450,73116900
04/08/2025,MBB,21150,21900,20900,20900,64519700
04/09/2025,MBB,19450,21400,19450,20650,61224500
04/10/2025,MBB,22050,22050,22050,22050,1687200
04/11/2025,MBB,22500,23500,22400,23450,78951400
04/14/2025,MBB,23500,23550,23150,23450,31682100
04/15/2025,MBB,23000,23400,22900,23000,29512300
04/16/2025,MBB,23000,23250,22750,22900,21897000
04/17/2025,MBB,22700,23000,22600,23000,21573500
04/18/2025,MBB,23100,23450,23050,23250,31562900
04/21/2025,MBB,23500,23500,22800,22950,37143800
04/22/2025,MBB,22850,23150,21550,23100,45375000
04/23/2025,MBB,23450,23700,23100,23400,33860600
04/24/2025,MBB,23400,23400,23050,23250,18099100
04/25/2025,MBB,23500,23750,23300,23550,40711200
04/28/2025,MBB,23800,23850,23550,23700,23070500
04/29/2025,MBB,23700,23750,23550,23550,13178800
05/05/2025,MBB,23700,23750,23450,23550,18857200
05/06/2025,MBB,23600,23700,23500,23550,22793600
05/07/2025,MBB,23550,23600,23200,23250,21893400
05/08/2025,MBB,23300,23600,23200,23550,21016400
05/09/2025,MBB,23700,23700,23400,23500,15034800
05/12/2025,MBB,23400,23900,23350,23800,34696600
05/13/2025,MBB,24050,24500,24000,24500,40093100
05/14/2025,MBB,24500,24700,24350,24500,29669300
05/15/2025,MBB,24600,25450,24600,25050,69083100
05/16/2025,MBB,25150,25150,24650,24650,28984500
05/19/2025,MBB,24500,24900,24350,24600,25291500
05/20/2025,MBB,24700,25100,24500,24850,31383600
05/21/2025,MBB,25200,25550,24850,25050,30367300
05/22/2025,MBB,25350,25350,24500,24650,25760800
05/23/2025,MBB,24900,24900,24550,24650,14495200
05/26/2025,MBB,24700,24800,24000,24800,18250000
05/27/2025,MBB,25000,25000,24650,24750,17946800
05/28/2025,MBB,24850,24850,24550,24600,14351800
05/29/2025,MBB,24750,24750,24450,24500,12766600
05/30/2025,MBB,24650,24650,24350,24350,17609800
06/02/2025,MBB,24450,24700,24150,24600,19184300
06/03/2025,MBB,24650,24800,24650,24700,19246400
06/04/2025,MBB,24750,24800,24500,24550,13482700
06/05/2025,MBB,24550,24650,24400,24400,9996800
06/06/2025,MBB,24350,24400,24150,24150,17960800
06/09/2025,MBB,24150,24300,24100,24250,13040400
06/10/2025,MBB,24300,24550,24100,24200,12938200
06/11/2025,MBB,24200,24300,24150,24250,6168900
06/12/2025,MBB,24300,24700,24300,24700,22542900
06/13/2025,MBB,24450,25000,24400,24850,42299700
06/16/2025,MBB,24850,25200,24800,25100,21119300
06/17/2025,MBB,25250,25400,24850,25000,21975100
06/18/2025,MBB,25100,25300,24900,25050,26189800
06/19/2025,MBB,25200,25200,24950,25100,15184600
06/20/2025,MBB,25200,26150,25150,25800,51151100
06/23/2025,MBB,25550,26100,25500,25900,23682000
06/24/2025,MBB,26100,26400,25900,25900,25984200
06/25/2025,MBB,26000,26050,25600,25600,20995000
06/26/2025,MBB,25700,25900,25500,25900,19444400
06/27/2025,MBB,25900,26100,25700,25700,12786100
06/30/2025,MBB,25750,25900,25700,25800,10723800
07/01/2025,MBB,25900,26150,25800,26000,22344100
07/02/2025,MBB,26050,26300,26000,26050,13995700
07/03/2025,MBB,26150,26350,25950,25950,25567500
07/04/2025,MBB,26000,26050,25850,26000,14976200
07/07/2025,MBB,26100,26500,26100,26400,18585900
07/08/2025,MBB,26500,26700,26350,26400,16109400
07/09/2025,MBB,26550,26800,26400,26600,25280500
07/10/2025,MBB,26700,26700,26400,26450,14412300
