date,ticket,open,high,low,close,volume
04/28/2025,SSI,22900,23150,22800,23050,12060400
04/29/2025,SSI,23150,23150,22950,22950,9778300
05/05/2025,SSI,23400,23450,23000,23100,9314500
05/06/2025,SSI,23200,23500,23100,23150,16475000
05/07/2025,SSI,23150,23150,22750,22850,18887200
05/08/2025,SSI,22950,23300,22750,23100,18519000
05/09/2025,SSI,23200,23300,22900,22950,15341500
05/12/2025,SSI,23100,23200,22850,23200,20022500
05/13/2025,SSI,23550,23900,23350,23400,25553900
05/14/2025,SSI,23450,24200,23300,23900,36621500
05/15/2025,SSI,24150,24250,23850,23900,23847200
05/16/2025,SSI,23950,24400,23700,23700,30215900
05/19/2025,SSI,23550,23700,23350,23350,19744300
05/20/2025,SSI,23400,23650,23300,23500,15335600
05/21/2025,SSI,23550,23700,23250,23350,24381300
05/22/2025,SSI,23350,23900,23250,23350,27664700
05/23/2025,SSI,23400,23550,23250,23350,16226300
05/26/2025,SSI,23450,23600,22800,23600,20912800
05/27/2025,SSI,23700,24000,23500,23700,24420300
05/28/2025,SSI,23950,24200,23550,23700,24600300
05/29/2025,SSI,23850,23900,23500,23500,14889300
05/30/2025,SSI,23500,23950,23400,23450,19752200
06/02/2025,SSI,23350,23700,23350,23700,12057800
06/03/2025,SSI,24100,24850,24100,24500,58587500
06/04/2025,SSI,24700,24700,24150,24200,19435500
06/05/2025,SSI,24200,24300,23900,23950,24655300
06/06/2025,SSI,23900,24000,23600,23600,28033000
06/09/2025,SSI,23650,23700,23350,23350,15704100
06/10/2025,SSI,23400,23550,23300,23350,13479500
06/11/2025,SSI,23400,23600,23350,23500,12900900
06/12/2025,SSI,23600,23850,23550,23650,13812400
06/13/2025,SSI,23500,23550,23050,23150,35039900
06/16/2025,SSI,23100,23850,23100,23850,16823100
06/17/2025,SSI,23900,23950,23650,23850,16346700
06/18/2025,SSI,23850,23950,23600,23600,21794300
06/19/2025,SSI,23600,23950,23500,23900,19690200
06/20/2025,SSI,24050,24350,23850,24000,25086200
06/23/2025,SSI,23700,23850,23550,23750,15661100
06/24/2025,SSI,24150,24550,24000,24300,48489100
06/25/2025,SSI,24350,24800,24200,24500,25856200
06/26/2025,SSI,24500,24600,24150,24500,18417100
06/27/2025,SSI,24600,24850,24450,24650,19508400
06/30/2025,SSI,25000,25150,24700,24700,26590700
07/01/2025,SSI,24750,24800,24350,24450,15143300
